,host_id,state,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,room_type,accommodates,bathrooms_text,bedrooms,beds,has_availability,number_of_reviews_ltm,review_scores_rating,instant_bookable,calculated_host_listings_count,reviews_per_month,essentials,other_amenities,hotel_room_revenue,host_experience,total_bookings
120,237114,California,1,100,86,1,1,1,0,6.0,1.0,1,2,1,4.0,4.92,0,1.0,1.36,1,50,18507.462686567163,4100.0,5.970149253731344
121,237692,California,0,100,94,1,1,1,0,2.0,1.0,1,1,1,60.0,4.97,0,1.0,6.33,1,26,37074.62686567164,4098.0,89.55223880597015
122,237946,California,0,100,86,0,1,1,0,4.0,1.0,2,2,1,4.0,5.0,0,1.0,4.0,1,22,5355.2238805970155,4099.0,5.970149253731344
123,239712,California,0,100,100,0,1,1,0,2.888888888888889,1.0,0,1,1,24.11111111111111,4.107777777777778,1,12.0,6.6544444444444455,1,24,183159.7014925373,4096.111111111111,323.88059701492534
124,240212,Florida,1,100,79,0,1,1,0,6.0,2.0,3,3,1,0.0,4.88,0,1.0,0.17,1,51,0.0,4113.0,0.0
125,242695,California,2,50,75,0,1,1,2,2.0,1.0,1,1,1,0.0,4.85,0,1.0,3.84,1,29,0.0,4094.0,0.0
126,245280,California,0,100,93,1,1,1,0,6.0,1.0,1,2,1,10.0,4.91,0,1.0,0.94,1,23,11567.164179104479,4090.0,14.925373134328359
127,247109,Florida,0,95,91,0,1,1,0,3.25,1.0,0,2,1,26.5,4.7275,1,4.0,2.35,1,19,21308.9552238806,4106.25,158.2089552238806
128,247738,California,0,100,100,1,1,1,0,2.0,1.0,1,1,1,23.0,4.86,1,1.0,3.37,1,50,10641.791044776119,4087.0,34.32835820895522
129,249998,Florida,0,100,99,1,1,1,0,3.0,1.0,0,2,1,34.0,4.79,0,2.0,2.67,1,33,8119.4029850746265,4103.0,50.74626865671642
130,250886,California,0,100,99,1,1,1,2,1.0,2.0,2,1,1,25.0,4.86,0,1.0,4.4,1,31,15373.13432835821,4084.0,37.3134328358209
131,253408,California,0,100,100,1,1,1,0,4.0,2.0,2,2,1,2.0,5.0,0,1.0,0.25,1,22,12985.074626865673,4081.0,2.985074626865672
132,256926,California,0,100,100,1,1,1,0,2.0,1.0,0,1,1,60.0,4.92,0,1.0,4.04,1,27,16119.402985074626,4078.0,89.55223880597015
133,265809,Florida,1,100,77,1,1,1,0,5.333333333333333,1.3333333333333333,2,2,1,10.666666666666666,4.876666666666666,0,3.0,0.8333333333333334,1,35,41313.4328358209,4084.0,47.76119402985075
134,268034,California,0,100,98,1,1,1,0,5.0,1.0,2,2,1,19.0,4.9,1,1.0,0.81,1,24,11286.567164179105,4065.0,28.35820895522388
135,271740,California,2,100,52,1,1,1,0,6.0,2.0,3,4,1,9.0,4.81,0,1.0,0.51,1,56,181343.28358208956,4060.0,13.432835820895523
136,273985,California,2,100,83,1,1,1,0,2.0,1.0,1,2,1,2.0,5.0,0,1.0,1.45,1,34,7970.149253731343,4057.0,2.985074626865672
137,275942,California,0,100,96,1,1,1,0,3.0,1.0,2,2,1,1.0,5.0,0,1.0,0.14,0,16,8910.447761194031,4053.0,1.492537313432836
138,275948,Florida,0,100,85,0,1,1,0,6.0,1.0,2,2,1,15.0,4.61,0,1.0,0.51,1,57,15783.58208955224,4071.0,22.388059701492537
139,281372,California,2,80,53,0,1,1,0,6.0,3.5,3,3,1,2.0,4.57,1,2.0,0.12,1,33,5373.134328358209,4047.0,2.985074626865672
140,285079,California,2,100,0,0,1,1,0,4.0,2.0,2,2,1,0.0,4.94,0,1.0,0.19,0,12,0.0,4043.0,0.0
141,291232,California,1,100,82,1,1,1,0,7.0,1.5,2,2,1,17.0,4.94,0,1.0,3.29,1,61,117294.92537313433,4037.0,25.37313432835821
142,294812,California,1,100,81,0,1,1,0,4.0,1.5,2,2,1,1.0,4.475,0,2.0,0.215,1,29,17462.68656716418,4033.0,2.985074626865672
143,295947,California,1,100,78,0,1,1,0,2.0,1.0,1,1,1,3.0,4.64,0,1.0,0.34,1,16,7388.059701492537,4033.0,4.477611940298507
144,297762,California,0,100,64,0,1,1,0,4.0,2.0,2,3,1,3.0,5.0,0,1.0,0.27,1,19,8731.34328358209,4029.0,4.477611940298507
145,298123,California,1,100,35,1,1,1,0,7.333333333333333,2.6666666666666665,3,3,1,10.333333333333334,4.963333333333334,0,3.0,0.73,0,21,218565.67164179104,4030.6666666666665,46.26865671641791
146,298216,California,1,90,80,1,1,1,0,2.0,1.0,0,1,1,2.5,4.890000000000001,0,2.0,0.20500000000000002,1,30,16925.373134328358,4031.0,7.462686567164178
147,298420,California,2,100,50,0,1,0,0,7.0,4.0,3,3,1,0.0,4.915,0,2.0,1.68,1,21,0.0,4029.5,0.0
148,303143,California,0,100,100,1,1,1,0,10.0,2.0,4,7,1,5.0,5.0,0,1.0,0.36,1,71,80597.01492537314,4027.0,7.462686567164179
149,304070,California,2,100,100,0,1,0,0,2.0,2.0,2,2,1,1.0,5.0,0,2.0,0.02,1,29,6716.417910447762,4026.0,1.492537313432836
150,308216,California,2,100,83,1,1,0,0,3.0,1.0,0,2,1,19.0,4.92,0,1.0,2.91,1,44,12661.940298507463,4022.0,28.35820895522388
151,309512,California,1,100,64,1,1,1,0,4.333333333333333,1.3333333333333333,2,2,1,8.0,4.98,0,3.0,0.5233333333333333,1,13,20844.776119402984,4021.0,35.82089552238806
152,317023,California,2,67,0,0,1,1,0,1.0,1.0,0,1,1,0.0,4.8,0,1.0,0.07,0,8,0.0,4012.0,0.0
153,320452,California,0,100,53,1,1,1,0,2.0,1.0,1,1,1,3.0,4.98,0,1.0,1.78,1,27,1907.462686567164,4008.0,4.477611940298507
154,320817,California,0,100,83,1,1,1,0,12.0,2.0,3,10,1,41.0,4.85,0,1.0,3.38,1,55,32952.985074626864,4008.0,61.19402985074627
155,321187,California,1,100,70,1,1,1,2,2.0,1.0,1,1,1,0.0,4.89,0,1.0,4.18,1,31,0.0,4008.0,0.0
156,322037,California,2,70,100,0,1,1,0,3.0,1.0,1,1,1,0.6666666666666666,4.55,1,3.0,1.26,1,32,6044.776119402985,4006.0,2.985074626865672
157,329040,California,0,100,99,0,1,1,0,5.0,1.0,2,2,1,41.0,4.69,1,2.0,3.9,1,46,385522.3880597015,3996.0,61.19402985074627
