,host_id,host_response_time,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_identity_verified,room_type,accommodates,bedrooms,beds,availability_365,number_of_reviews_l30d,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month,county,essentials,other_amenities,bathrooms_number,number_host_verifications,host_experience,annual_listing_revenue
29138,270072225,2,100,0,1,1,2,2,1,1,59,0,4.95,0,1,0.74,0,1,34,1.0,6,2,2925.0
29140,115997726,1,71,0,25,1,0,8,1,8,180,0,3.5,1,18,0.2,0,0,10,0.0,9,4,310.05
29142,130904349,0,93,0,659,1,0,8,3,3,339,1,4.76,1,6,1.58,0,0,39,3.0,7,4,63545.99999999999
29146,255629532,0,100,0,4,1,2,2,1,1,82,0,5.0,1,4,0.28,0,1,26,1.0,7,2,1575.0
29148,270181766,0,100,0,5,1,2,2,1,2,341,4,5.0,1,3,4.19,0,1,59,1.0,4,2,6502.5
29149,270188060,2,0,0,1,1,2,2,1,1,180,0,4.2,0,1,0.19,0,1,16,1.0,6,2,90.0
29152,72622217,2,0,0,7,1,0,2,1,1,119,0,4.25,0,2,0.14,0,1,28,1.0,9,5,3105.0
29154,1126652,0,99,1,4,1,2,2,1,1,286,0,4.81,1,3,0.91,0,1,15,1.0,4,10,3780.0
29155,125878422,2,78,0,1,0,2,2,1,1,340,0,4.23,1,1,0.5,0,0,12,1.0,2,4,3645.0
29156,19014028,1,67,0,1,1,0,6,3,3,181,1,4.94,0,1,0.56,0,1,57,2.0,4,7,66150.0
29159,143319361,0,0,0,3,1,2,1,1,1,91,0,5.0,0,2,0.1,0,1,25,1.0,6,4,3510.0
29160,10397264,0,88,0,7,1,0,4,2,2,0,1,4.2,0,6,1.52,0,1,38,1.0,8,8,4846.5
29161,15643925,0,93,1,8,1,0,4,1,2,288,7,4.72,0,5,10.69,0,1,28,1.0,8,7,18849.0
29163,110658797,0,100,1,5,1,0,8,2,4,272,0,4.9,0,4,0.74,0,1,40,2.5,6,4,13500.0
29164,40702019,0,100,0,1,0,0,2,1,1,193,1,4.79,0,1,1.52,0,1,18,1.0,3,6,20250.0
