,id,host_response_time,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,minimum_nights,maximum_nights,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,county,essentials,other_amenities,total_bookings,annual_listing_revenue
23888,46960367,1,35,0,1,1,34.06932,-118.37121,0,6,3.5,3,3,1,1125,1,1.0,5.0,5.0,5.0,5.0,5.0,1.0,0,5,0,1,43,1.492537313432836,2652.2388059701493
23889,46960582,1,35,0,1,1,34.06911,-118.3724,0,6,3.5,3,3,1,1125,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,5,0,1,43,1.492537313432836,2652.2388059701493
23890,46960662,1,35,0,1,1,34.06859,-118.37048,0,6,3.5,3,3,1,1125,2,4.5,4.0,4.5,5.0,5.0,5.0,5.0,0,5,0,1,43,2.985074626865672,5304.477611940299
23892,46964591,3,100,1,1,1,34.06307,-118.15309,2,3,1.0,2,2,30,1125,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,2,0,1,11,1.492537313432836,114.92537313432837
23894,46969740,0,100,1,1,0,34.02341,-118.49491,0,2,1.0,1,1,31,1125,6,4.83,4.67,4.83,5.0,5.0,5.0,4.5,1,64,0,1,17,8.955223880597014,1056.7164179104477
23895,46970430,0,98,0,1,1,33.9578,-118.38615,0,3,1.0,1,1,30,155,3,4.67,4.33,5.0,4.33,4.67,5.0,4.67,1,53,0,1,23,4.477611940298507,385.07462686567163
23898,46971032,0,98,0,1,1,33.95739,-118.38385,0,3,1.0,1,1,30,155,3,4.67,4.67,4.67,4.67,5.0,4.67,4.67,1,53,0,1,28,4.477611940298507,402.98507462686564
23899,46971219,0,98,0,1,1,33.95632,-118.38267,0,3,1.0,1,1,30,155,3,4.33,5.0,4.67,5.0,5.0,4.0,3.67,1,53,0,1,22,4.477611940298507,385.07462686567163
23900,46971389,0,98,0,1,1,33.95573,-118.38319,0,3,1.0,1,1,30,155,3,5.0,5.0,4.67,5.0,5.0,4.67,4.33,1,53,0,1,36,4.477611940298507,255.2238805970149
23901,46971880,1,83,0,1,1,33.93859,-118.26896,0,2,1.0,1,1,30,90,1,5.0,5.0,4.0,5.0,5.0,3.0,5.0,0,2,0,1,37,1.492537313432836,104.47761194029852
23903,46974521,0,100,1,1,1,33.95037,-118.30105,0,8,2.0,3,4,2,28,52,4.88,4.88,4.81,4.94,4.96,4.37,4.71,1,6,0,1,39,77.61194029850746,29259.701492537315
23904,46985189,0,97,1,1,1,34.12404,-118.60612,0,4,1.0,1,2,3,1125,28,5.0,5.0,5.0,4.79,4.89,4.82,4.82,0,1,0,1,29,41.791044776119406,8149.253731343284
23905,46985275,0,97,1,1,1,34.05059,-117.97335,2,2,1.0,1,1,4,1125,11,5.0,4.82,4.91,4.91,4.91,4.91,4.91,0,9,0,1,39,16.417910447761194,722.3880597014926
23906,46985352,0,99,0,1,1,34.1813,-118.30737,0,4,1.0,1,1,1,365,31,4.74,4.57,4.9,4.43,4.8,4.97,4.83,1,7,0,1,43,46.26865671641791,6431.3432835820895
23907,46986900,2,100,1,1,1,34.0565,-118.36639,0,3,1.0,2,3,30,98,4,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1,0,1,33,5.970149253731344,746.2686567164179
23909,46989579,3,56,0,1,1,34.08467,-118.35194,0,4,2.5,2,3,5,60,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1,0,1,20,2.985074626865672,597.0149253731344
23912,46993051,2,91,0,1,1,33.96952,-118.36686,0,6,2.0,3,3,28,365,2,5.0,4.5,4.0,5.0,5.0,5.0,4.5,1,1,0,1,21,2.985074626865672,325.3731343283582
23913,47001521,0,56,0,1,1,34.50265,-118.61918,2,1,2.5,4,6,7,180,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,5,0,1,19,2.985074626865672,179.1044776119403
23914,47003093,0,98,0,1,1,34.00523,-118.4262,0,2,1.0,1,1,30,1125,1,2.0,2.0,4.0,5.0,2.0,4.0,2.0,0,93,0,1,21,1.492537313432836,185.07462686567166
23916,47003777,0,98,0,1,1,34.00394,-118.42834,0,2,1.0,1,1,30,1125,2,4.5,4.5,4.5,5.0,4.5,5.0,4.5,0,93,0,1,21,2.985074626865672,370.1492537313433
23920,47012818,2,8,0,1,1,33.91038,-118.36223,0,6,2.0,3,2,7,90,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1,0,1,15,1.492537313432836,216.41791044776122
23921,47013202,0,100,1,1,0,33.91836,-118.42071,0,4,1.0,1,2,2,1125,59,4.98,4.95,4.93,5.0,4.98,4.97,4.95,1,1,0,1,43,88.05970149253731,13032.835820895523
23922,47013727,0,73,0,1,1,34.09806,-118.35072,0,2,1.0,0,1,31,365,3,5.0,5.0,5.0,5.0,5.0,4.67,5.0,0,62,0,1,30,4.477611940298507,380.5970149253731
23923,47013817,0,73,0,1,1,34.09819,-118.34955,0,2,1.0,1,1,31,365,2,4.5,5.0,5.0,4.5,5.0,4.5,5.0,0,62,0,1,33,2.985074626865672,268.65671641791045
23924,47013870,0,73,0,1,1,34.09449,-118.35446,0,2,2.0,2,2,31,365,4,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,62,0,1,38,5.970149253731344,686.5671641791046
23925,47014342,1,73,1,1,1,33.77183,-118.11663,2,1,1.0,1,1,31,1125,4,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1,0,1,29,5.970149253731344,388.05970149253733
23926,47015522,0,99,0,1,1,33.92737,-118.4174,0,2,1.0,0,1,1,62,77,4.77,4.86,4.81,4.94,4.91,4.9,4.83,0,7,0,1,41,114.92537313432835,13791.044776119403
23927,47016390,0,100,0,1,1,34.1687,-118.60786,0,2,1.0,1,1,30,1125,1,4.0,5.0,5.0,5.0,5.0,5.0,4.0,0,1,0,1,29,1.492537313432836,186.56716417910448
23928,47021647,1,100,1,1,1,34.09428,-118.37557,0,2,1.0,1,1,1,365,3,4.67,4.33,5.0,4.33,4.33,4.67,4.0,1,7,0,1,27,4.477611940298507,1768.6567164179103
23929,47021745,1,100,1,1,1,34.09455,-118.37549,0,2,1.0,1,1,1,365,3,5.0,5.0,5.0,5.0,5.0,5.0,4.67,1,7,0,0,24,4.477611940298507,2261.194029850746
23931,47021888,1,100,1,1,1,34.09328,-118.37765,0,2,1.0,1,1,1,365,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,7,0,0,26,1.492537313432836,634.3283582089553
23935,47027868,1,83,0,1,1,34.06361,-118.38224,0,4,1.5,2,2,31,390,4,5.0,5.0,4.75,5.0,5.0,5.0,5.0,0,49,0,1,39,5.970149253731344,770.1492537313434
23936,47028232,0,99,0,1,1,33.98093,-117.88819,2,2,1.0,1,1,1,1125,17,4.88,4.82,4.88,4.94,4.94,4.88,4.88,1,17,0,1,37,25.37313432835821,1877.6119402985075
23937,47029554,0,95,0,1,0,34.12443,-118.63428,2,2,1.0,1,1,1,2,62,4.97,5.0,4.97,5.0,5.0,5.0,4.9,0,1,0,0,11,92.53731343283582,37847.76119402985
23938,47029786,2,58,1,1,1,33.98206,-118.46638,0,4,2.0,2,2,30,60,16,5.0,5.0,5.0,4.88,5.0,5.0,5.0,0,1,0,1,42,23.880597014925375,10268.65671641791
23940,47034757,0,90,1,1,1,34.25309,-118.49098,0,4,1.0,0,4,30,365,4,4.75,4.75,5.0,5.0,5.0,5.0,4.5,1,1,0,1,31,5.970149253731344,388.05970149253733
23941,47035824,2,36,0,1,1,33.92443,-118.35553,0,2,1.0,1,1,5,365,17,5.0,5.0,4.94,5.0,4.94,4.82,4.94,0,1,0,1,27,25.37313432835821,4541.79104477612
23943,47036486,1,73,0,1,1,34.05225,-118.32067,0,2,1.5,1,2,31,62,2,3.5,3.5,3.5,5.0,4.0,4.0,3.5,0,2,0,1,38,2.985074626865672,265.6716417910448
